 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    7      icalc       2
 -----------------------------------------------------------------------
   2   1.000   2.3147    2.3924    2.15291 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
     0.8345   -2.1341   -0.3269  2   9 F     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 11.000  1.0839E+01  8.0518E-02 -2.5577E+01  9.603E-01  1.0370E+01  1.1099E+01
 12.000  1.0422E+01  6.6180E-02 -2.5828E+01  9.481E-01  1.1562E+01  1.2088E+01
 13.000  1.0024E+01  5.4595E-02 -2.6048E+01  9.404E-01  1.2788E+01  1.3078E+01
 14.000  9.6514E+00  4.6984E-02 -2.6268E+01  9.346E-01  1.4043E+01  1.4071E+01
 15.000  9.3017E+00  3.9780E-02 -2.6459E+01  9.319E-01  1.5326E+01  1.5065E+01
 16.000  8.9713E+00  3.3277E-02 -2.6604E+01  9.297E-01  1.6633E+01  1.6059E+01
 17.000  8.6609E+00  2.9409E-02 -2.6702E+01  9.290E-01  1.7963E+01  1.7055E+01
 18.000  8.3653E+00  2.6870E-02 -2.6763E+01  9.288E-01  1.9314E+01  1.8051E+01
 19.000  8.0874E+00  2.5177E-02 -2.6821E+01  9.292E-01  2.0684E+01  1.9047E+01
 20.000  7.8234E+00  2.4943E-02 -2.6886E+01  9.295E-01  2.2072E+01  2.0045E+01
