 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   42      icalc       2
 -----------------------------------------------------------------------
   2   1.000   4.4948    2.3924    2.15291 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
     3.1970   -2.9847    1.0364  2   9 F     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.5788E+01  0.0000E+00 -1.8351E+01  9.470E-01  3.9416E+00  2.0960E+00
  0.100  1.5787E+01  4.2995E-02 -1.9230E+01  9.488E-01  3.9458E+00  2.0982E+00
  0.200  1.5786E+01  8.5614E-02 -2.0070E+01  9.540E-01  3.9584E+00  2.1050E+00
  0.300  1.5784E+01  1.2750E-01 -2.0871E+01  9.625E-01  3.9791E+00  2.1162E+00
  0.400  1.5781E+01  1.6833E-01 -2.1633E+01  9.738E-01  4.0075E+00  2.1318E+00
  0.500  1.5777E+01  2.0784E-01 -2.2357E+01  9.875E-01  4.0429E+00  2.1516E+00
  0.600  1.5770E+01  2.4581E-01 -2.3045E+01  1.003E+00  4.0847E+00  2.1758E+00
  0.700  1.5762E+01  2.8210E-01 -2.3697E+01  1.020E+00  4.1318E+00  2.2040E+00
  0.800  1.5752E+01  3.1662E-01 -2.4314E+01  1.037E+00  4.1835E+00  2.2362E+00
  0.900  1.5738E+01  3.4932E-01 -2.4898E+01  1.054E+00  4.2385E+00  2.2722E+00
  1.000  1.5722E+01  3.8021E-01 -2.5449E+01  1.071E+00  4.2958E+00  2.3120E+00
  1.100  1.5702E+01  4.0934E-01 -2.5969E+01  1.087E+00  4.3542E+00  2.3554E+00
  1.200  1.5678E+01  4.3677E-01 -2.6459E+01  1.103E+00  4.4126E+00  2.4023E+00
  1.300  1.5650E+01  4.6257E-01 -2.6918E+01  1.117E+00  4.4700E+00  2.4527E+00
  1.400  1.5618E+01  4.8681E-01 -2.7349E+01  1.129E+00  4.5254E+00  2.5064E+00
  1.500  1.5582E+01  5.0955E-01 -2.7751E+01  1.141E+00  4.5782E+00  2.5633E+00
  1.600  1.5541E+01  5.3085E-01 -2.8125E+01  1.150E+00  4.6279E+00  2.6235E+00
  1.700  1.5496E+01  5.5072E-01 -2.8471E+01  1.159E+00  4.6743E+00  2.6868E+00
  1.800  1.5446E+01  5.6914E-01 -2.8789E+01  1.166E+00  4.7178E+00  2.7534E+00
  1.900  1.5391E+01  5.8604E-01 -2.9079E+01  1.171E+00  4.7589E+00  2.8232E+00
  2.000  1.5332E+01  6.0131E-01 -2.9341E+01  1.175E+00  4.7991E+00  2.8962E+00
  2.200  1.5201E+01  6.2620E-01 -2.9776E+01  1.178E+00  4.8846E+00  3.0524E+00
  2.400  1.5034E+01  6.3283E-01 -3.0028E+01  1.169E+00  5.0043E+00  3.2301E+00
  2.600  1.4853E+01  6.8590E-01 -3.0232E+01  1.286E+00  4.1518E+00  3.4173E+00
  2.800  1.4799E+01  7.3480E-01 -3.0776E+01  1.365E+00  3.7636E+00  3.5553E+00
  3.000  1.4766E+01  7.6673E-01 -3.1338E+01  1.397E+00  3.5986E+00  3.6893E+00
  3.200  1.4718E+01  7.7972E-01 -3.1825E+01  1.410E+00  3.5351E+00  3.8334E+00
  3.400  1.4665E+01  7.7606E-01 -3.2265E+01  1.408E+00  3.5317E+00  3.9831E+00
  3.600  1.4606E+01  7.5915E-01 -3.2664E+01  1.399E+00  3.5671E+00  4.1380E+00
  3.800  1.4539E+01  7.3233E-01 -3.3026E+01  1.384E+00  3.6301E+00  4.2975E+00
  4.000  1.4464E+01  6.9798E-01 -3.3353E+01  1.367E+00  3.7137E+00  4.4612E+00
  4.200  1.4381E+01  6.5952E-01 -3.3653E+01  1.349E+00  3.8136E+00  4.6285E+00
  4.400  1.4289E+01  6.1872E-01 -3.3926E+01  1.326E+00  3.9267E+00  4.7992E+00
