 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   94      icalc       2
 -----------------------------------------------------------------------
   2   1.000   4.8675    2.3924    2.15291 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -4.3693   -0.1834    2.1373  2   9 F     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.5788E+01  0.0000E+00 -1.6865E+01  9.470E-01  3.9416E+00  2.0960E+00
  0.100  1.5787E+01  4.2609E-02 -1.7817E+01  9.488E-01  3.9458E+00  2.0982E+00
  0.200  1.5786E+01  8.4866E-02 -1.8726E+01  9.540E-01  3.9584E+00  2.1050E+00
  0.300  1.5784E+01  1.2644E-01 -1.9592E+01  9.625E-01  3.9791E+00  2.1162E+00
  0.400  1.5781E+01  1.6702E-01 -2.0417E+01  9.738E-01  4.0075E+00  2.1318E+00
  0.500  1.5777E+01  2.0636E-01 -2.1200E+01  9.875E-01  4.0429E+00  2.1516E+00
  0.600  1.5770E+01  2.4426E-01 -2.1944E+01  1.003E+00  4.0847E+00  2.1758E+00
  0.700  1.5762E+01  2.8057E-01 -2.2648E+01  1.020E+00  4.1318E+00  2.2040E+00
  0.800  1.5752E+01  3.1519E-01 -2.3315E+01  1.037E+00  4.1835E+00  2.2362E+00
  0.900  1.5738E+01  3.4807E-01 -2.3945E+01  1.054E+00  4.2385E+00  2.2722E+00
  1.000  1.5722E+01  3.7923E-01 -2.4540E+01  1.071E+00  4.2958E+00  2.3120E+00
  1.100  1.5702E+01  4.0869E-01 -2.5100E+01  1.087E+00  4.3542E+00  2.3554E+00
