 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   15      icalc       2
 -----------------------------------------------------------------------
   2   1.000   4.0972    2.3924    2.15291 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  92 U        absorbing atom
    -1.7750   -0.1834    3.6882  2   9 F     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.5788E+01  0.0000E+00 -1.3636E+01  9.470E-01  3.9416E+00  2.0960E+00
  0.100  1.5787E+01  4.3487E-02 -1.4438E+01  9.488E-01  3.9458E+00  2.0982E+00
  0.200  1.5786E+01  8.6563E-02 -1.5204E+01  9.540E-01  3.9584E+00  2.1050E+00
  0.300  1.5784E+01  1.2884E-01 -1.5934E+01  9.625E-01  3.9791E+00  2.1162E+00
  0.400  1.5781E+01  1.6997E-01 -1.6630E+01  9.738E-01  4.0075E+00  2.1318E+00
  0.500  1.5777E+01  2.0967E-01 -1.7292E+01  9.875E-01  4.0429E+00  2.1516E+00
  0.600  1.5770E+01  2.4772E-01 -1.7921E+01  1.003E+00  4.0847E+00  2.1758E+00
  0.700  1.5762E+01  2.8396E-01 -1.8517E+01  1.020E+00  4.1318E+00  2.2040E+00
  0.800  1.5752E+01  3.1830E-01 -1.9082E+01  1.037E+00  4.1835E+00  2.2362E+00
  0.900  1.5738E+01  3.5071E-01 -1.9616E+01  1.054E+00  4.2385E+00  2.2722E+00
  1.000  1.5722E+01  3.8123E-01 -2.0122E+01  1.071E+00  4.2958E+00  2.3120E+00
  1.100  1.5702E+01  4.0990E-01 -2.0598E+01  1.087E+00  4.3542E+00  2.3554E+00
  1.200  1.5678E+01  4.3680E-01 -2.1048E+01  1.103E+00  4.4126E+00  2.4023E+00
  1.300  1.5650E+01  4.6202E-01 -2.1470E+01  1.117E+00  4.4700E+00  2.4527E+00
  1.400  1.5618E+01  4.8566E-01 -2.1866E+01  1.129E+00  4.5254E+00  2.5064E+00
  1.500  1.5582E+01  5.0780E-01 -2.2236E+01  1.141E+00  4.5782E+00  2.5633E+00
  1.600  1.5541E+01  5.2849E-01 -2.2580E+01  1.150E+00  4.6279E+00  2.6235E+00
  1.700  1.5496E+01  5.4776E-01 -2.2899E+01  1.159E+00  4.6743E+00  2.6868E+00
  1.800  1.5446E+01  5.6561E-01 -2.3193E+01  1.166E+00  4.7178E+00  2.7534E+00
  1.900  1.5391E+01  5.8198E-01 -2.3461E+01  1.171E+00  4.7589E+00  2.8232E+00
  2.000  1.5332E+01  5.9676E-01 -2.3703E+01  1.175E+00  4.7991E+00  2.8962E+00
  2.200  1.5201E+01  6.2087E-01 -2.4107E+01  1.178E+00  4.8846E+00  3.0524E+00
  2.400  1.5034E+01  6.2710E-01 -2.4346E+01  1.169E+00  5.0043E+00  3.2301E+00
  2.600  1.4853E+01  6.8032E-01 -2.4543E+01  1.286E+00  4.1518E+00  3.4173E+00
  2.800  1.4799E+01  7.2865E-01 -2.5040E+01  1.365E+00  3.7636E+00  3.5553E+00
  3.000  1.4766E+01  7.6000E-01 -2.5552E+01  1.397E+00  3.5986E+00  3.6893E+00
  3.200  1.4718E+01  7.7261E-01 -2.5996E+01  1.410E+00  3.5351E+00  3.8334E+00
  3.400  1.4665E+01  7.6880E-01 -2.6399E+01  1.408E+00  3.5317E+00  3.9831E+00
  3.600  1.4606E+01  7.5195E-01 -2.6763E+01  1.399E+00  3.5671E+00  4.1380E+00
  3.800  1.4539E+01  7.2538E-01 -2.7096E+01  1.384E+00  3.6301E+00  4.2975E+00
  4.000  1.4464E+01  6.9141E-01 -2.7396E+01  1.367E+00  3.7137E+00  4.4612E+00
  4.200  1.4381E+01  6.5342E-01 -2.7673E+01  1.349E+00  3.8136E+00  4.6285E+00
  4.400  1.4289E+01  6.1314E-01 -2.7924E+01  1.326E+00  3.9267E+00  4.7992E+00
  4.600  1.4188E+01  5.7252E-01 -2.8157E+01  1.304E+00  4.0509E+00  4.9728E+00
  4.800  1.4080E+01  5.3355E-01 -2.8370E+01  1.277E+00  4.1845E+00  5.1490E+00
  5.000  1.3966E+01  4.9606E-01 -2.8567E+01  1.252E+00  4.3263E+00  5.3274E+00
  5.200  1.3848E+01  4.6143E-01 -2.8751E+01  1.223E+00  4.4754E+00  5.5079E+00
  5.400  1.3728E+01  4.2915E-01 -2.8920E+01  1.197E+00  4.6308E+00  5.6902E+00
  5.600  1.3609E+01  3.9945E-01 -2.9079E+01  1.172E+00  4.7921E+00  5.8741E+00
  5.800  1.3492E+01  3.7188E-01 -2.9228E+01  1.149E+00  4.9586E+00  6.0595E+00
  6.000  1.3376E+01  3.4618E-01 -2.9365E+01  1.128E+00  5.1300E+00  6.2460E+00
