 # UF4                                                              FEFF 10.0.0
 # POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=92 Rmt= 1.584 Rnm= 1.704 L3 shell
 # Pot 1 Z=92 Rmt= 1.587 Rnm= 1.712
 # Pot 2 Z= 9 Rmt= 1.025 Rnm= 1.111
 # Gam_ch=8.104E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu= 2.153E+00eV kf=2.081E+00 Vint=-1.434E+01eV Rs_int= 1.743
 # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0094.dat 0.00000     8.374     1.000     2   4.7174
 feff0095.dat 0.00000     8.372     1.000     2   4.7176
 feff0096.dat 0.00000     8.351     1.000     2   4.7208
 feff0098.dat 0.00000     8.796     2.000     3   4.7796
 feff0099.dat 0.00000     6.372     2.000     3   4.7830
 feff0100.dat 0.00000     7.912     1.000     2   4.7864
 feff0102.dat 0.00000     7.724     1.000     2   4.8158
 feff0103.dat 0.00000     3.406     2.000     3   4.8213
 feff0105.dat 0.00000     7.433     1.000     2   4.8629
 feff0106.dat 0.00000     7.405     1.000     2   4.8675
 feff0107.dat 0.00000     5.747     2.000     3   4.8685
 feff0108.dat 0.00000     3.430     1.000     4   4.8787
 feff0109.dat 0.00000     4.774     2.000     3   4.8947
 feff0110.dat 0.00000     7.196     1.000     2   4.9028
 feff0111.dat 0.00000     5.448     2.000     3   4.9341
 feff0112.dat 0.00000     6.192     2.000     3   4.9429
 feff0113.dat 0.00000     3.377     2.000     3   4.9507
 feff0114.dat 0.00000     6.803     1.000     2   4.9725
